title,salary,desc,company_name,company_address,min_salary,max_salary,address_lat,address_lon,categories
Машинист буровой установки,100 000 — 120 000 руб.,"Компании «АзЭнергоБайкал» водитель ямобура на базе Митсубиси Кантер, для строительства линий электропередач (КЛ,ВЛ) 0,4-10кВ, монтаж КТП. Работа в Иркутске и Иркутском районе, возможны командировки по области. Требования: Опыт работы по строительству линий электропередач (КЛ,ВЛ) 0,4-10кВ, монтажу КТП…","ООО ""АЭБ""","Иркутск, ул Трактовая, д 4/3, оф.16",100000.0,120000.0,,,машинист
Комплектовщик,38 000 руб.,"На данный момент в ГК Мегаполис открыта вакансия ""КОМПЛЕКТОВЩИК"" ОБЯЗАННОСТИ: Комплектация и сбор товара по накладным (сигареты, энергетические напитки), Проверка собранных заявок для водителей-экспедиторов; Участие в инвентаризации. ТРЕБОВАНИЯ К КАНДИДАТУ: Внимательность к деталям; Ответственность;…",Мегаполис,"Иркутск, ул Трактовая, д 1/3",,,,,другое
Грузчик-комплектовщик,по договоренности,"Компания Boxberry является структурным подразделением группы компаний «Урал-Пресс», которая работает в России с 1992 года в сфере логистики. На российском рынке представлена с 2010 года, как служба доставки для интернет-магазинов и других компаний дистанционной торговли. Обязанности: осуществление погрузо-разгрузочных…",Boxberry,"г Иркутск, ул Ширямова, д 36",,,,,грузчик
Бухгалтер по расчету зарплаты,40 230 — 51 724 руб.,"Начисление заработной платы и больничных, составление отчетности, обработка и учет исполнительных листов; Требования: знание 1с; Условия: официальное трудоустройство, оплачиваемый отпуск, заработная плата 2 раза в месяц;","ООО ""ВИТИМ-ЛЕС""","Иркутск, ул Ширямова, д 10",40230.0,51724.0,52.2566329,104.3459949,бухгалтер
Продавец продуктов,80 000 — 140 000 руб.,"Принять магазин по ревизии Осуществлять заявки товара Выкладка товара на полки Соблюдение правил ротации Контроль за сроками годности Реализация товара Работа с покупателями Работа с кассой; Требования: Желание ЗАРАБАТЫВАТЬ ДЕНЬГИ, а не получать Исполнительность Честность; Условия: Трудоустройство официальное…",Миронова Ирина Сергеевна,"Иркутск, ул Воровского, д 31/4",80000.0,140000.0,,,продавец
Водитель категории Е,110 000 — 165 000 руб.,"Осуществление междугородних грузоперевозок, в том числе в труднодоступные районы Якутии и севера Иркутской области (Ленск, Мирный, Витим, Пеледуй, Талакан, Усть-Кут) Контроль правильности загрузки а/м; Документарное сопровождение груза; Мелкий ремонт; Требования: Стаж работы не менее 3-х лет; Категория…","ООО ""СТЭС""","г Иркутск, ул Воровского, д 19б",110000.0,165000.0,,,водитель
Водитель такси,80 000 — 120 000 руб.,"Стаж вождения по ВУ от 3 лет. Аккуратный, плавный стиль вождения. Обязанности: Перевозка пассажиров в соответствии со стандартами сервиса. Условия: Предоставляем для работы автомобили Hyundai Solaris 2018-19, Renault Logan 2018-19, Nissan Almera 2018-19, VW Polo 2018-19, Kia Rio 2018-19, Skoda Rapid…",партнер сервиса Яндекс.Такси,"Иркутск, ул Вилюйская",80000.0,120000.0,52.2870554,104.3726665,водитель
Продавец продуктов питания,20 000 — 30 000 руб.,"Знание ККМ, Обслуживание посетителей. Требования: Мед.книжка, опыт работы в торговле. Условия: Суточная работа;","ООО ""Парус""","Иркутск, пр-кт Маршала Жукова, д 70/1",20000.0,30000.0,,,продавец
Медицинская сестра/фельдшер предрейсовых осмотров,от 27 235 руб.,"Проведение предрейсовых осмотров водителей; Ведение документации; Ежемесячная отчетность; Требования: Наличие действующего медицинского сертификата; Удостоверение на предрейсовые осмотры (желательно) Условия: График работы: ежедневно, 2/2; Время работы: 6.30 - 11.00 и 15.00 - 21.30; Иркутск, Полярная улица, 199;",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БЕРБЕРЯН МИКАЕЛ ГАЙКОВИЧ,"Иркутск, ул Полярная, д 199",27235.0,,,,другое
Риэлтор по жилой недвижимости,60 000 — 150 000 руб.,Здравствуйте уважаемые соискатели. Агентство недвижимости ГОРОДОК ведет набор сотрудников. Вакансии: Риэлтор по продаже недвижимости. Снами реально зарабатывать 60 000 рублей в месяц. Особо шустрые могут и до 150 000. Система обучения агентов; Растущая процентная ставка; Аттестация сотрудников. Задача…,Агентство недвижимости ГОРОДОК,"Иркутск, Марии Ульяновой 13",60000.0,150000.0,52.3406276,104.2247219,другое
